Description,Date,Distance,Average Moving Speed,Max Speed
West Didsbury to Altrincham ,24/07/2012 07:53,6.41,14.74,21.55
Altrincham to West Didsbury ,24/07/2012 17:56,8.38,14.67,23.51
West Didsbury to Altrincham ,25/07/2012 07:51,6.49,14.92,21.83
Altrincham to West Didsbury ,25/07/2012 17:45,8.37,14.2,23.65
West Didsbury to Altrincham ,26/07/2012 07:53,6.41,15.55,22.95
Altrincham to West Didsbury ,26/07/2012 17:58,6.32,15.18,25.19
West Didsbury to Altrincham ,27/07/2012 07:52,6.46,14.3,21.13
Altrincham to West Didsbury ,27/07/2012 18:13,6.35,14.93,27.28
West Didsbury to Northenden and back ,29/07/2012 16:06,4.48,13.36,24.77
West Didsbury to Altrincham ,30/07/2012 07:50,6.33,14.98,21.97
Altrincham to West Didsbury ,30/07/2012 17:42,5.73,15.75,26.44
West Didsbury to Altrincham ,31/07/2012 07:53,6.4,15.32,22.53
Altrincham to West Didsbury ,31/07/2012 17:41,6.38,15.24,26.44
West Didsbury to Altrincham ,1/8/2012 7:51:00,6.43,14.64,20.29
Altrincham to Cycle Surgery ,1/8/2012 17:51:00,6.68,15.68,24.91
West Didsbury to Altrincham ,2/8/2012 7:50:00,6.39,14.91,23.09
Altrincham to West Didsbury ,2/8/2012 17:47:00,6.36,15.5,27.28
West Didsbury to Altrincham ,3/8/2012 7:52:00,6.35,14.42,21.13
Altrincham to Croft ,3/8/2012 17:44:00,12.55,15.97,25.05
Croft Loop ,4/8/2012 19:05:00,3.97,17.25,26.31
Croft to West Didsbury ,5/8/2012 14:11:00,18.38,15.16,29.52
West Didsbury to Altrincham ,7/8/2012 7:53:00,6.47,15.42,27.84
Altrincham to Cycle Surgery ,7/8/2012 17:59:00,6.55,16.35,24.07
West Didsbury to Altrincham ,8/8/2012 7:53:00,6.48,15.92,22.11
Altrincham to Cycle Surgery ,8/8/2012 17:41:00,6.64,15.94,23.51
West Didsbury to Altrincham ,9/8/2012 7:27:00,6.42,14.98,22.53
Altrincham to West Didsbury ,9/8/2012 17:44:00,6.31,15.1,27.14
West Didsbury to Altrincham ,10/8/2012 7:57:00,6.35,14.58,21.83
Altrincham to Croft ,10/8/2012 17:44:00,13.78,16.39,23.23
Croft to Culcheth ,10/8/2012 20:47:00,2.45,15.81,23.79
Culcheth to Croft ,11/8/2012 2:07:00,2.41,16.61,23.93
Croft to Culcheth ,11/8/2012 21:06:00,2.83,15.78,26.58
Culcheth to Croft ,11/8/2012 23:25:00,2.65,16.71,22.81
Croft to West Didsbury ,12/8/2012 12:13:00,18.58,14.31,22.95
West Didsbury to Altrincham ,13/08/2012 07:54,6.48,14.9,22.11
Altrincham to West Didsbury ,13/08/2012 17:41,6.27,15.72,24.63
West Didsbury to Altrincham ,15/08/2012 07:55,6.37,15.66,23.37
Altrincham to Fallowfield ,15/08/2012 17:45,7.41,15.55,24.77
Altrincham to West Didsbury ,16/08/2012 07:59,6.33,14.9,21.13
West Didsbury to Altrincham ,17/08/2012 07:36,6.47,15.58,22.25
Altrincham to West Didsbury ,17/08/2012 17:33,6.29,15.58,25.89
Croft to West Didsbury ,19/08/2012 14:39,20.53,17.8,27.56
West Didsbury to Altrincham ,20/08/2012 07:52,6.9,16.18,26.44
Altrincham to West Didsbury ,20/08/2012 17:41,6.28,16.6,26.44
West Didsbury to Altrincham ,21/08/2012 07:51,6.32,15.69,23.93
Altrincham to West Didsbury ,21/08/2012 17:47,6.25,16.17,24.77
West Didsbury to Altrincham ,22/08/2012 07:53,6.35,15.57,23.79
Altrincham to West Didsbury ,22/08/2012 17:40,6.25,16.7,26.31
West Didsbury to Altrincham ,23/08/2012 07:57,6.37,16.54,23.23
Altrincham to West Didsbury ,23/08/2012 17:43,6.29,16.55,25.75
West Didsbury to Altrincham ,24/08/2012 07:32,6.4,16.3,25.61
Altrincham to West Didsbury ,24/08/2012 17:40,6.31,16.77,26.58
West Didsbury to Altrincham ,28/08/2012 07:48,6.36,15.59,23.09
Altrincham to Croft ,28/08/2012 17:39,13.99,18.7,26.72
Croft to West Didsbury ,28/08/2012 20:21,20.51,17.51,26.31
West Didsbury to Altrincham ,29/08/2012 07:52,6.37,15.36,22.53
Altrincham to West Didsbury ,29/08/2012 17:44,6.27,16.74,24.63
West Didsbury to Altrincham ,30/08/2012 07:55,6.4,16.12,22.67
Altrincham to West Didsbury ,30/08/2012 17:45,6.32,16.58,23.79
West Didsbury to Altrincham ,31/08/2012 07:50,6.33,16.31,23.93
Altrincham to West Didsbury ,31/08/2012 18:00,6.33,16.01,23.79
West Didsbury to Hulme ,1/9/2012 10:28:00,3.98,13.54,22.11
Hulme to West Didsbury ,1/9/2012 10:57:00,3.48,14.83,21.55
West Didsbury to Culcheth ,10/9/2012 10:17:00,17.79,17.38,25.89
Culcheth to Croft ,10/9/2012 11:30:00,2.32,16.1,24.35
Croft to West Didsbury ,10/9/2012 19:41:00,20.67,17.35,31.48
West Didsbury to Altrincham ,11/9/2012 7:53:00,6.31,14.75,29.24
Altrincham to West Didsbury ,11/9/2012 17:43:00,6.27,17.27,28.26
West Didsbury to Altrincham ,12/9/2012 7:54:00,6.41,14.08,24.77
Altrincham to West Didsbury ,12/9/2012 17:52:00,6.32,15.73,25.75
